X,Y,OBJECTID,Weekday,stop_code,StopMode,stop_name,stop_lat,stop_lon,F28,F38,F55,F60,F61,F62,F63,F64,F65,F75,F80,F81,F82,F84,A,B,C,D,E,F,G,H,J,L,O,P,R,S,W
-9950116.24322422,5323173.15875327,36,295.31818182,10082,RB,Capital Square,43.073547,-89.383415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.45454545,112.86363636,0,0,0,0,0,0,0,0,0,0,0,0,0
-9949626.66000595,5323905.73943843,37,215,10085,RB,Blair,43.078354,-89.379017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.54545455,100.45454545,0,0,0,0,0,0,0,0,0,0,0,0,0
-9949601.94710485,5323913.8168155,38,162.04545455,10086,RB,Blair,43.078407,-89.378795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.63636364,50.40909091,0,0,0,0,0,0,0,0,0,0,0,0,0
-9949032.65921862,5324481.237182,39,252.77272727,10089,RB,Paterson,43.08213,-89.373681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.54545455,113.22727273,0,0,0,0,0,0,0,0,0,0,0,0,0
-9949006.61042539,5324490.68691088,40,127.13636364,10090,RB,Paterson,43.082192,-89.373447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.18181818,44.95454545,0,0,0,0,0,0,0,0,0,0,0,0,0
-9948237.8381428,5325247.75908288,41,135.72727273,10093,RB,Baldwin,43.087159,-89.366541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.27272727,66.45454545,0,0,0,0,0,0,0,0,0,0,0,0,0
-9948213.12519832,5325257.20962139,42,89.90909091,10094,RB,Baldwin Eastbound,43.087221,-89.366319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.18181818,30.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0
-9947467.61858688,5325992.3927794,43,139.45454545,10097,RB,First Street,43.092044,-89.359622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.40909091,63.04545455,0,0,0,0,0,0,0,0,0,0,0,0,0
-9947438.78677737,5326005.95976068,44,78.90909091,10098,RB,First Street,43.092133,-89.359363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.22727273,26.68181818,0,0,0,0,0,0,0,0,0,0,0,0,0
-9946848.57085005,5326626.55948355,45,157.22727273,10101,RB,Fourth Street,43.096204,-89.354061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.72727273,81.5,0,0,0,0,0,0,0,0,0,0,0,0,0
-9946822.52206315,5326638.90785598,46,205.77272727,10102,RB,Fourth Street,43.096285,-89.353827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.81818182,84.95454545,0,0,0,0,0,0,0,0,0,0,0,0,0
-9946279.06025861,5327228.14312956,47,222.77272727,10105,RB,Milwaukee-North,43.10015,-89.348945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.27272727,117.5,0,0,0,0,0,0,0,0,0,0,0,0,0
-9946230.85899413,5327296.29252835,48,130.59090909,10106,RB,Milwaukee-North,43.100597,-89.348512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.59090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
