X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,sign_type,jurisdiction_id,relative_position,cardinal_direction,primary_street,address_range,cross_location,PK_OP_WE,start_date,end_date
-9950483.51786025,5320147.93484016,2177,954,0367,W Olin at Lake,This stop (#0367) is eastbound on the 299 block of W Olin after Lake,43.053682,-89.386709,1,,0,,,1,1,CMAD,1,90,W Olin,299,Lake,111,20250817,20250817
-9949753.93485805,5317374.02038283,2178,957,3732,Rimrock at Moorland,This stop (#3732) is southbound on the 2500 block of Rimrock after Moorland,43.035471,-89.380155,1,,0,,,1,1,CFIT,1,180,Rimrock,2500,Moorland,100,20250817,20250817
-9945715.92710206,5319122.26942247,2179,958,3733,W Broadway at W P S,This stop (#3733) is eastbound on the 1799 block of W Broadway after W P S,43.046949,-89.343881,1,,0,,,1,1,CMON,1,90,W Broadway,1799,W P S,111,20250817,20250817
-9939371.94131308,5317368.39981651,2180,959,F340,Marsh at Yesterday,This flag stop (#F340) is southbound on the 4300 block of Marsh after Yesterday,43.035434,-89.286892,1,,0,,,1,0,CMAD,1,180,Marsh,4300,Yesterday,100,20250817,20250817
-9946907.3811159,5318463.1729224,2181,962,3772,South Towne at Royal,This stop (#3772) is southbound on the 5500 block of South Towne before Royal,43.042622,-89.354584,1,,0,,,1,1,CMON,3,180,South Towne,5500,Royal,111,20250817,20250817
-9949584.83961959,5317849.81263374,2182,963,3787,Rimrock at E Badger,This stop (#3787) is northbound on the 2499 block of Rimrock after E Badger,43.038595,-89.378636,1,,0,,,1,1,CMAD,1,0,Rimrock,2499,E Badger,111,20250817,20250817
-9949501.45755475,5319831.21963179,2183,964,0379,John Nolen at E Olin,This stop (#0379) is northbound on the 499 block of John Nolen after E Olin,43.051603,-89.377887,1,,0,,,1,1,CMAD,1,0,John Nolen,499,E Olin,100,20250817,20250817
-9950627.57118205,5317047.19278251,2184,968,3821,Ski at Deer Valley,This stop (#3821) is northbound on the 2701 block of Ski before Deer Valley,43.033325,-89.388003,1,,0,,,1,1,CFIT,3,0,Ski,2701,Deer Valley,111,20250817,20250817
-9939926.64631596,5317519.17551535,2185,969,3827,Great Gray at Owl Creek,This stop (#3827) is eastbound on the 5199 block of Great Gray before Owl Creek,43.036424,-89.291875,1,,0,,,1,1,CMAD,3,90,Great Gray,5199,Owl Creek,111,20250817,20250817
-9949156.48294505,5317396.86592238,2186,970,3832,Moorland at Badger,This stop (#3832) is westbound on the 698 block of Moorland after Badger,43.035621,-89.374788,1,,0,,,1,1,CMAD,1,270,Moorland,698,Badger,111,20250817,20250817
-9946067.58552397,5319130.79926897,2187,971,3841,W Broadway at Hoboken,This stop (#3841) is eastbound on the 1999 block of W Broadway after Hoboken,43.047005,-89.34704,1,,0,,,1,1,CMON,1,90,W Broadway,1999,Hoboken,111,20250817,20250817
-9951667.06162998,5322922.97709338,2188,973,0039,N Lake at W Johnson,This stop (#0039) is northbound on the 299 block of N Lake before W Johnson,43.071895,-89.397341,1,,0,,,1,1,CMAD,3,0,N Lake,299,W Johnson,111,20250817,20250817
-9945753.43703009,5321855.56424527,2189,974,3901,Nichols at Winnequah,This stop (#3901) is eastbound on the 1198 block of Nichols after Winnequah,43.06489,-89.344218,1,,0,,,0,1,CMON,1,90,Nichols,1198,Winnequah,110,20250817,20250817
-9952386.63912552,5318739.77501366,2190,975,0391,Fish Hatchery at Carver,This stop (#0391) is northbound on the 2001 block of Fish Hatchery before Carver,43.044438,-89.403805,1,,0,,,1,1,CMAD,3,0,Fish Hatchery,2001,Carver,111,20250817,20250817
