des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,is_event_day,route_affected_by_event,has_construction,construction_count
BROOKS,False,73,43.07236374448309,-89.40050240963595,1,1232148,8920,506539,EMPTY,O,0,2025-11-06,54900,116G,1232148,20251106 15:30,2007,,2025-11-06T15:30:41.852975,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,199,43.09781561719932,-89.52349636807794,1,1230728,23734,433,EMPTY,F,12,2025-11-06,54540,117A,1230728,20251106 15:30,2337,,2025-11-06T15:30:44.203604,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,123,43.0721350225319,-89.40707427519386,1,1230727,70686,433,EMPTY,F,0,2025-11-06,52920,123A,1230727,20251106 15:30,2351,,2025-11-06T15:30:44.203604,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
JUNCTION VIA MIDDLETON,False,277,43.07345087844803,-89.40714586775327,1,1230764,6281,486,HALF_EMPTY,F,0,2025-11-06,55200,112A,1230764,20251106 15:30,2325,,2025-11-06T15:30:44.203604,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
JUNCTION VIA MIDDLETON,False,266,43.09689120704082,-89.51484273962343,1,1230763,50776,486,EMPTY,F,21,2025-11-06,53400,114A,1230763,20251106 15:30,2306,,2025-11-06T15:30:44.203604,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
EAST TOWNE,False,30,43.03899333333334,-89.39474833333334,1,1231059,40,373,EMPTY,G,0,2025-11-06,56100,115G,1231059,20251106 15:30,2206,,2025-11-06T15:30:46.483542,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
EAST TOWNE,False,88,43.062080403072805,-89.32052785804314,1,1231058,41674,373,EMPTY,G,17,2025-11-06,54300,117G,1231058,20251106 15:30,2204,,2025-11-06T15:30:46.483542,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
EAST TOWNE,False,324,43.12571862705655,-89.30952646168191,1,1231057,80777,373,EMPTY,G,13,2025-11-06,52500,122G,1231057,20251106 15:30,1914,,2025-11-06T15:30:46.483542,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
SOUTH TRANSFER,False,139,43.11619291032632,-89.29655399404736,1,1231095,7502,506612,EMPTY,G,26,2025-11-06,55620,111G,1231095,20251106 15:30,158,,2025-11-06T15:30:46.483542,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
SOUTH TRANSFER,False,270,43.04714000018132,-89.3396317569604,1,1231094,52582,506612,EMPTY,G,20,2025-11-06,53820,121G,1231094,20251106 15:30,2013,,2025-11-06T15:30:46.483542,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
SOUTH TRANSFER,False,32,43.03911166666667,-89.39469833333332,1,1231093,88193,506612,EMPTY,G,0,2025-11-06,52020,120G,1231093,20251106 15:30,132,,2025-11-06T15:30:46.483542,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
MONONA/DUTCH MILL,False,29,43.09034080719245,-89.3565144240319,1,1227544,40519,1289,EMPTY,38,5,2025-11-06,53280,11238,1227544,20251106 15:30,2006,,2025-11-06T15:30:49.026540,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
JENIFER,False,119,43.075820643803425,-89.4340436301614,1,1227545,12025,1290,EMPTY,38,0,2025-11-06,55080,11138,1227545,20251106 15:30,983,,2025-11-06T15:30:49.026540,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
WHITNEY,False,271,43.07528726179485,-89.4432405876473,1,1227572,26938,1294,EMPTY,38,1,2025-11-06,54120,11438,1227572,20251106 15:30,2203,,2025-11-06T15:30:49.026540,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
WHITNEY,False,313,43.08143819120005,-89.36518619320361,1,1227573,45478,1301,EMPTY,38,24,2025-11-06,54300,11338,1227573,20251106 15:30,1903,,2025-11-06T15:30:49.026540,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
FITCHBURG-CADDIS,False,305,43.13411546611657,-89.3959416598211,1,1229153,6105,1278,EMPTY,B,30,2025-11-06,55320,156B,1229153,20251106 15:30,2352,,2025-11-06T15:30:51.305306,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
FITCHBURG-CADDIS,False,223,43.09673590015303,-89.35338416210939,1,1229123,34514,1278,EMPTY,B,26,2025-11-06,54420,153B,1229123,20251106 15:30,2353,,2025-11-06T15:30:51.305306,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
FITCHBURG-CADDIS,False,271,43.073275173168554,-89.40004124327503,1,1229152,50685,1278,EMPTY,B,0,2025-11-06,53520,155B,1229152,20251106 15:30,2305,,2025-11-06T15:30:51.305306,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
FITCHBURG-CADDIS,False,180,43.03969624415732,-89.39411651046272,1,1229122,63527,1278,EMPTY,B,25,2025-11-06,52620,152B,1229122,20251106 15:30,2301,,2025-11-06T15:30:51.305306,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
NORTHPORT,False,53,43.01956333333332,-89.42090666666667,1,1229059,101,1280,EMPTY,B,0,2025-11-06,56100,154B,1229059,20251106 15:30,2340,,2025-11-06T15:30:51.305306,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
NORTHPORT,False,359,43.038895,-89.394824,1,1229091,11650,1280,EMPTY,B,1,2025-11-06,55200,151B,1229091,20251106 15:30,2309,,2025-11-06T15:30:51.305306,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
NORTHPORT,False,90,43.072014502535474,-89.39611973392962,1,1229058,26300,1280,EMPTY,B,5,2025-11-06,54300,150B,1229058,20251106 15:30,2342,,2025-11-06T15:30:51.305306,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
NORTHPORT,False,33,43.10009035547902,-89.34883623893212,1,1229090,44138,1280,EMPTY,B,0,2025-11-06,53460,149B,1229090,20251106 15:30,2310,,2025-11-06T15:30:51.305306,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
KENNEDY/DROP OFFS ONLY,False,183,43.133814884604085,-89.38359483285923,1,1229186,2799,1284,EMPTY,B,0,2025-11-06,55860,148B,1229186,20251106 15:30,2316,,2025-11-06T15:30:51.305306,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
EPIC CAMPUS,False,225,43.07135464633558,-89.38889089958225,1,1227761,2395,1252,EMPTY,75,15,2025-11-06,55680,18175,1227761,20251106 15:30,1905,,2025-11-06T15:30:53.569242,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-JUNCTION,False,273,43.0575,-89.5281,1,1232596,51204,354,EMPTY,R,0,2025-11-06,52680,111E,1232596,20251106 15:30,107,,2025-11-06T15:30:55.882695,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
CAPITOL SQUARE,False,90,43.07517635854872,-89.44453614176189,1,1232527,36481,382,EMPTY,R,0,2025-11-06,54660,113D,1232527,20251106 15:30,155,,2025-11-06T15:30:55.882695,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
2-SOUTH RIDGE,False,263,43.07295501097056,-89.45764395112039,1,1232580,20984,478,HALF_EMPTY,R,0,2025-11-06,54480,113E,1232580,20251106 15:30,1912,,2025-11-06T15:30:55.882695,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
OWL CREEK,False,57,43.04750254860361,-89.30420564882442,1,1231994,84458,1239,EMPTY,L,0,2025-11-06,51720,111L,1231994,20251106 15:30,2011,,2025-11-06T15:30:58.256880,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
CHEROKEE,False,271,43.13114394125314,-89.36200665919361,1,1231979,77453,1265,EMPTY,L,11,2025-11-06,51720,112L,1231979,20251106 15:30,1913,,2025-11-06T15:30:58.256880,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
BROOKS,False,67,43.05352212177265,-89.46586661752549,1,1231789,15387,506535,EMPTY,J,0,2025-11-06,55200,113G,1231789,20251106 15:30,134,,2025-11-06T15:31:00.520074,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
BROOKS,False,5,43.072590000000005,-89.40051999999999,1,1231772,44997,506535,EMPTY,J,0,2025-11-06,53400,118G,1231772,20251106 15:30,2004,,2025-11-06T15:31:00.520074,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
WEST TOWNE,False,280,43.05501999804039,-89.49062887061854,1,1231819,37640,506536,EMPTY,J,33,2025-11-06,54300,112G,1231819,20251106 15:31,130,,2025-11-06T15:31:00.520074,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
2-BUCKEYE,False,69,43.074560000000005,-89.27790166666666,1,1229704,56575,327,EMPTY,C,0,2025-11-06,52560,112C,1229704,20251106 15:30,2005,,2025-11-06T15:31:02.775182,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
U.W. HOSPITAL,False,342,43.07312503670646,-89.42881303598048,1,1229776,53368,331,EMPTY,C,1,2025-11-06,53040,111C,1229776,20251106 15:30,106,,2025-11-06T15:31:02.775182,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-SPRECHER,False,98,43.072219042481244,-89.40745679951047,1,1229739,10584,349,HALF_EMPTY,C,15,2025-11-06,55140,111D,1229739,20251106 15:30,123,,2025-11-06T15:31:02.775182,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-SPRECHER,False,74,43.076015221426346,-89.37569881766946,1,1229725,20815,349,EMPTY,C,24,2025-11-06,54360,120C,1229725,20251106 15:31,118,,2025-11-06T15:31:02.775182,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-SPRECHER,False,87,43.083762259627086,-89.32054361586636,1,1229690,40599,349,EMPTY,C,30,2025-11-06,53460,114C,1229690,20251106 15:30,135,,2025-11-06T15:31:02.775182,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
U.W. HOSPITAL,False,267,43.08472627931453,-89.28010040646608,1,1229760,4462,454,EMPTY,C,0,2025-11-06,55920,119C,1229760,20251106 15:30,1915,,2025-11-06T15:31:02.775182,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
U.W. HOSPITAL,False,260,43.09286078387797,-89.35162865946069,1,1229810,25211,454,EMPTY,C,0,2025-11-06,55020,118C,1229810,20251106 15:30,2207,,2025-11-06T15:31:02.775182,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
U.W. HOSPITAL,False,227,43.070837050558396,-89.38569941057719,1,1229797,38112,454,EMPTY,C,19,2025-11-06,54120,117C,1229797,20251106 15:30,1906,,2025-11-06T15:31:02.775182,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
EAGLE HEIGHTS VIA U.W. CAMPUS,False,39,43.08856884912046,-89.43913918884424,1,1228511,2270,462,EMPTY,84,25,2025-11-06,55740,4284,1228511,20251106 15:30,995,,2025-11-06T15:31:05.034378,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
EAGLE HEIGHTS VIA U.W. CAMPUS,False,96,43.07652355931801,-89.40955257800945,1,1228510,16527,462,EMPTY,84,17,2025-11-06,54840,4184,1228510,20251106 15:30,985,,2025-11-06T15:31:05.034378,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
SHERMAN,False,46,43.072588322795724,-89.39307743347075,1,1227449,25689,1288,FULL,28,0,2025-11-06,54180,11328,1227449,20251106 15:31,2213,,2025-11-06T15:31:07.307679,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
WHITNEY VIA SHERMAN,False,226,43.07531845273065,-89.39098568870062,1,1227479,17727,1298,EMPTY,28,15,2025-11-06,54900,11128,1227479,20251106 15:30,1910,,2025-11-06T15:31:07.307679,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
WHITNEY VIA SHERMAN,False,38,43.07651484686912,-89.46901177683118,1,1227478,44610,1298,EMPTY,28,0,2025-11-06,53100,11228,1227478,20251106 15:31,151,,2025-11-06T15:31:07.307679,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
JUNCTION,False,213,43.10610529117253,-89.34014631408563,1,1228633,33644,387,EMPTY,A,39,2025-11-06,54780,151A,1228633,20251106 15:31,2328,,2025-11-06T15:31:09.554673,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
JUNCTION,False,271,43.07540869383999,-89.45089957171542,1,1228630,68541,387,FULL,A,3,2025-11-06,52980,122A,1228630,20251106 15:31,2304,,2025-11-06T15:31:09.554673,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
2-AMERICAN CENTER,False,89,43.07290658391841,-89.42973505191993,1,1228574,32175,414,EMPTY,A,35,2025-11-06,54360,125A,1228574,20251106 15:30,2324,,2025-11-06T15:31:09.554673,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
2-AMERICAN CENTER,False,46,43.123226193004356,-89.31495046286626,1,1228573,73885,414,EMPTY,A,15,2025-11-06,52680,115A,1228573,20251106 15:31,2360,,2025-11-06T15:31:09.554673,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-SUN PRAIRIE VIA HIGH CROSSING,False,89,43.06079401390514,-89.47539407873595,1,1228530,15440,421,EMPTY,A,38,2025-11-06,55260,121A,1228530,20251106 15:30,2339,,2025-11-06T15:31:09.554673,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-SUN PRAIRIE VIA HIGH CROSSING,False,44,43.08130806376374,-89.37463366409379,1,1228546,49527,421,FULL,A,32,2025-11-06,53520,118A,1228546,20251106 15:31,2361,,2025-11-06T15:31:09.554673,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-SUN PRAIRIE VIA HIGH CROSSING,False,31,43.1358794316162,-89.29111410903516,1,1228529,82217,421,EMPTY,A,27,2025-11-06,51780,126A,1228529,20251106 15:31,2359,,2025-11-06T15:31:09.554673,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
JUNCTION VIA HIGH CROSSING,False,196,43.16134775294915,-89.26889028456303,1,1228613,3273,469,EMPTY,A,36,2025-11-06,55620,111A,1228613,20251106 15:31,2307,,2025-11-06T15:31:09.554673,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
JUNCTION VIA HIGH CROSSING,False,226,43.07996686936091,-89.37684682692007,1,1228595,48863,469,HALF_EMPTY,A,33,2025-11-06,53880,113A,1228595,20251106 15:30,2347,,2025-11-06T15:31:09.554673,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
JUNCTION VIA HIGH CROSSING,False,266,43.06067631844198,-89.50749741262804,1,1228612,89693,469,EMPTY,A,0,2025-11-06,52080,119A,1228612,20251106 15:30,2344,,2025-11-06T15:31:09.554673,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
WEST MAIN,False,182,43.18642798636346,-89.22630918936433,1,1232971,20528,394,EMPTY,W,23,2025-11-06,55200,111S,1232971,20251106 15:30,1904,,2025-11-06T15:31:11.814379,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
SOUTH TRANSFER,False,83,43.03172611518397,-89.48807855121292,1,1231424,16309,350,HALF_EMPTY,H,16,2025-11-06,55080,114G,1231424,20251106 15:31,2215,,2025-11-06T15:31:14.178266,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
WEST TOWNE,False,282,43.03199578394593,-89.47711010538897,1,1231461,35826,400,EMPTY,H,17,2025-11-06,54300,119G,1231461,20251106 15:31,2201,,2025-11-06T15:31:14.178266,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
